year,value,for_sale,comments,beanie_name
1986,1098.34,0,Velit numquam quisquam neque non,1997 Teddy
2002,705.19,0,Labore etincidunt adipisci sed ipsum modi numquam velit,1998 Holiday Teddy
1995,90.38,0,Quiquia dolore sed aliquam dolorem,1999 Holiday Teddy
1983,127.18,0,Non etincidunt modi aliquam modi,1999 Signature Bear
2007,184.93,0,Consectetur porro amet quaerat ut,2000 Holiday Teddy
1980,1738.34,0,Quiquia voluptatem eius dolorem amet voluptatem numquam,2000 Signature
1993,1285.60,0,Adipisci dolore quisquam amet dolorem tempora,2001 Holiday Teddy
1987,562.06,0,Est aliquam quaerat sit,2001 Signature
2005,1441.52,0,Non etincidunt ut adipisci,2002 Holiday Teddy
1993,452.62,0,Dolorem labore velit voluptatem voluptatem aliquam tempora quaerat,2002 Signature
2017,874.25,0,Neque tempora tempora adipisci sit quiquia numquam adipisci,2003 Holiday Teddy
2002,1749.67,0,Adipisci amet neque est numquam modi velit,2003 Signature Bear
1984,361.83,0,Tempora tempora neque consectetur eius voluptatem,2004 Holiday Teddy
2014,345.97,0,Ipsum dolor eius est est sed,2004 Signature
2002,1615.90,0,Dolorem eius numquam dolorem,2005 Holiday Teddy
2018,1018.62,0,Ut sed velit adipisci quisquam quisquam dolor modi,2005 Signature Bear
1982,161.00,0,Quaerat etincidunt tempora ut consectetur,2006
1982,877.75,0,Sed aliquam adipisci dolorem,2006 Holiday Teddy
1983,1307.08,0,Quiquia dolorem sit numquam,2006 Signature Bear
2011,1089.61,0,Dolor neque sed adipisci amet dolorem eius,2006 Zodiac Dog
1983,1741.26,0,Sed numquam amet labore,2007
1982,1969.40,0,Quisquam dolorem amet labore amet est,2007 Holiday Teddy
2006,636.25,0,Eius aliquam consectetur tempora neque modi,2007 Holiday Teddy
2002,1346.05,0,Est neque ipsum etincidunt numquam ipsum,2007 Signature
1990,1884.81,0,Ipsum voluptatem tempora porro numquam,2007 Zodiac Pig
2010,770.62,0,Quiquia dolore consectetur aliquam dolor,2008
1997,918.11,0,Dolor labore magnam amet labore dolore,2008 Holiday Teddy
1992,1773.19,0,Magnam velit quisquam quiquia eius adipisci voluptatem adipisci,2008 Zodiac Rat
1985,1446.40,0,Ipsum dolore aliquam quiquia adipisci,Aces
1993,143.78,0,Sit etincidunt non sed etincidunt numquam modi consectetur,Addison
2002,731.09,0,Consectetur modi labore dolore,Admiral
2007,1463.15,0,Numquam ut non eius,Adonis
1991,830.27,0,Aliquam voluptatem quisquam velit,Adore
2012,874.40,0,Adipisci tempora labore ut,Ai Motomachi
1989,1763.32,0,Velit est consectetur modi velit aliquam,Alabama
2006,1548.32,0,Voluptatem non etincidunt quiquia ipsum non,Alabama
2007,1747.66,0,Aliquam neque adipisci voluptatem quisquam velit quaerat,Alacazam
1988,1425.55,0,Sed dolor dolore sed porro,Alana
2015,192.67,0,Aliquam quaerat dolor voluptatem eius,Alani
2017,1696.62,0,Tempora ut adipisci est labore dolore,Alberta Wild Rose
2004,1898.98,0,Amet sed voluptatem ipsum,Alex
1998,28.49,0,Quisquam non sed consectetur etincidunt adipisci,Allegro
1986,1326.93,0,Quaerat dolorem magnam porro consectetur etincidunt,Ally
2007,1116.43,0,Porro voluptatem magnam sit,Almond
1985,1419.22,0,Ipsum ut dolor adipisci amet est,Alpha
1984,1095.00,0,Etincidunt numquam dolore ipsum quiquia sit,Alps
1997,1140.45,0,Neque dolore sed modi dolorem quiquia etincidunt,Alvin
2001,1704.68,0,Numquam eius tempora ipsum,Alvin
1989,630.11,0,Amet dolore neque neque amet amet voluptatem,Alvin
1983,1358.06,0,Dolor amet velit quiquia amet quaerat,Always
2000,1965.56,0,Neque voluptatem non dolor labore quiquia,Amber
2005,1309.64,0,Porro ut labore dolore quisquam neque sed porro,America
2013,553.00,0,Labore dolore velit amet,America
2000,1743.40,0,Voluptatem dolore non ipsum est porro adipisci,America
2002,1651.52,0,Ipsum porro etincidunt numquam,America
2018,1654.46,0,Labore eius eius neque est,America
1999,136.22,0,Dolor ut sed neque dolore consectetur magnam ut,America
2019,169.92,0,Consectetur quisquam modi dolorem ut,American
1984,1082.11,0,Tempora modi consectetur sed quaerat,American Blessing
2003,1218.60,0,Magnam etincidunt dolore dolorem,Amigo
2004,1908.41,0,Dolor dolor labore modi,Amora
2003,1256.25,0,Etincidunt sit etincidunt dolorem,Amore
2013,167.99,0,Modi quiquia amet numquam ut,Anchor
2016,1254.97,0,Voluptatem etincidunt neque sed voluptatem dolorem aliquam ipsum,Angel
1988,983.36,0,Voluptatem voluptatem quisquam porro velit,Angel
1988,1846.28,0,Est aliquam sed neque etincidunt magnam etincidunt ut,Ants
2013,640.99,0,Porro etincidunt modi ut labore,Aotearoa
1980,1616.35,0,Ipsum dolorem dolor labore magnam quaerat,Aotearoa
2004,502.10,0,Labore quisquam quiquia velit ut,Applejack
1984,241.00,0,Consectetur labore sit quiquia dolor quisquam,Applejack
2018,52.52,0,Quaerat aliquam porro porro amet labore consectetur velit,April
1988,950.62,0,Quaerat dolore neque dolore sed,April
1997,794.07,0,Labore sit ut labore eius neque,April Fool
2008,1251.99,0,Consectetur velit ut consectetur dolor modi,Arabesque
1986,54.41,0,Sed dolorem quaerat adipisci ipsum neque porro quisquam,Arctic
2000,28.54,0,Numquam dolore numquam aliquam neque quiquia velit neque,Aria
1984,597.61,0,Numquam est sit labore,Ariel
1996,1278.14,0,Adipisci dolore voluptatem eius dolor numquam,Arizona
2005,906.20,0,Modi voluptatem sed sit adipisci,Arlene
1985,1161.45,0,Dolor est aliquam adipisci neque tempora non quaerat,Aruba
1993,696.50,0,Ipsum velit etincidunt labore sit,Ash
1980,1736.26,0,Ut amet amet ut dolor dolorem dolorem dolore,Astra
1986,1026.82,0,Est neque sed est quiquia adipisci aliquam amet,Atlanta
1986,1546.72,0,Quaerat dolore quisquam adipisci,Atlanta Braves
1998,664.24,0,Aliquam quiquia voluptatem magnam,August
1992,1313.73,0,Dolor neque consectetur eius sed magnam adipisci,August
1987,1618.06,0,Eius tempora eius tempora,Aurora
1995,14.05,0,Numquam quaerat adipisci etincidunt numquam etincidunt voluptatem,Aussie
2003,1695.05,0,Aliquam etincidunt consectetur consectetur numquam,Aussiebear
1994,487.40,0,Eius dolor dolorem aliquam dolor est etincidunt numquam,Austin
1987,1813.77,0,Labore non dolorem numquam adipisci,Australia
2005,146.74,0,Ipsum porro sit velit eius quiquia,Ava
1997,392.56,0,Voluptatem eius amet sed,Avalanche
2016,944.01,0,Amet labore magnam tempora quisquam consectetur aliquam,Avalon
2019,578.25,0,Ipsum neque quisquam ut magnam sed sed,Aware
1989,1900.26,0,Quiquia dolor quisquam consectetur,Awareness
2018,82.67,0,Eius non numquam velit dolore numquam quiquia ut,Axew
1993,1262.31,0,Eius ipsum aliquam modi dolorem ut velit tempora,B.B. Bear
2018,1905.85,0,Quisquam voluptatem velit amet consectetur dolorem adipisci non,BEN 10
1996,1257.07,0,Quiquia labore labore ut porro ipsum,BLARN
1983,569.63,0,Numquam velit aliquam velit consectetur dolore,Baaabsy
1996,1397.21,0,Voluptatem quaerat magnam sed adipisci numquam,Baaabsy Baaag
1993,1243.09,0,Ut quisquam consectetur non sit,Baabet
1991,633.11,0,Sed voluptatem porro ipsum neque,Baboo
2015,1953.33,0,Magnam ut adipisci dolore,Baboo
2010,575.86,0,Tempora quaerat ut quisquam,Baby Boy
2004,424.51,0,Tempora quisquam amet tempora neque,Baby Boy
2004,1426.90,0,Est dolore non eius adipisci,Baby Boy
1985,805.02,0,Quiquia eius ut voluptatem dolor adipisci neque consectetur,Baby Girl
2010,488.48,0,Porro neque quiquia voluptatem quisquam,Baby Girl
2002,1778.15,0,Quisquam quisquam eius non tempora sit dolore magnam,Baby Girl
2016,1850.64,0,Voluptatem ipsum magnam velit sed,Baby Jaguar
2008,1494.07,0,Modi ipsum quiquia labore dolorem,Badges
1985,737.97,0,Ut tempora quisquam ut consectetur aliquam aliquam dolorem,Badtz
2009,1599.76,0,Porro quaerat quisquam etincidunt,Bahati
1985,897.22,0,Modi consectetur modi aliquam magnam,Baldy
1993,1752.77,0,Eius adipisci non dolore etincidunt eius consectetur,Bali
2001,1443.84,0,Eius tempora neque sit,Bali
1990,119.53,0,Quisquam quaerat consectetur labore porro magnam velit,Bali
2007,940.89,0,Quaerat numquam dolorem labore etincidunt labore,Bali
1984,1762.57,0,Non aliquam aliquam quisquam consectetur dolore consectetur,Ballerina Peppa
2008,298.45,0,Velit quisquam non dolore quaerat dolore adipisci,Baltimore Ravens
1989,487.91,0,Est porro aliquam tempora adipisci sed eius numquam,Bam
2017,448.42,0,Numquam consectetur est sed numquam quiquia quaerat amet,Bananas
1986,1954.57,0,Velit modi quaerat etincidunt porro neque numquam magnam,Bananas
1992,1983.26,0,Est eius quisquam tempora,Bandage
2007,1566.42,0,Non adipisci modi est,Bandit
2001,946.24,0,Dolorem aliquam est amet amet eius,Bandito
2007,603.19,0,Adipisci ut amet numquam,Banjo
2007,719.25,0,Velit quiquia ut numquam modi quiquia,Banjo
1995,1510.62,0,Aliquam dolorem voluptatem modi dolore,Barbaro
2003,860.25,0,Dolorem neque velit quisquam dolorem,Barbaro
2016,1820.95,0,Voluptatem dolore quisquam modi voluptatem adipisci consectetur dolore,Barklowe
2010,1561.92,0,Dolor non eius porro quiquia voluptatem,Barks
1981,1525.34,0,Sed adipisci labore modi voluptatem dolor magnam,Barks
1998,367.34,0,Non est non quaerat non neque est labore,Barley
2001,1818.34,0,Tempora sit numquam dolorem dolore neque,Baron Van Pyre
1998,1370.77,0,Ipsum sit magnam modi,Basilico
1991,149.57,0,Tempora sed eius porro quaerat dolore etincidunt adipisci,Batty
2017,1284.14,0,Ut dolor numquam sit quiquia ut dolor,Batty
1992,934.60,0,Consectetur est sit amet quiquia consectetur dolor consectetur,BayStars
2013,277.21,0,Ipsum numquam velit modi tempora sit dolor,Beak
2005,1696.84,0,Tempora quiquia magnam etincidunt,Beani
2009,624.38,0,Sed labore quisquam dolorem ipsum etincidunt,Beanie Hawaii
2003,1649.88,0,Neque ut neque aliquam,Beanie House Rock
1991,1298.09,0,Aliquam quaerat sed amet ipsum sed neque,Beanies! Beanies! Beanies!
1994,562.86,0,Labore sit non quisquam quaerat,Bearning Love
2007,1911.07,0,Porro labore porro dolor voluptatem sed,Bearon
1987,1555.48,0,Magnam labore aliquam tempora velit,Beary Bag
1986,1361.54,0,Sed quiquia etincidunt modi modi velit,Beary Much
1987,1477.53,0,Numquam eius modi sed,Bend It Like SpongeBob
1989,323.61,0,Neque quaerat ipsum tempora magnam,Benjamin
1981,507.34,0,Sed porro magnam sed ipsum quaerat,Bently
2011,1062.85,0,Consectetur non dolorem dolorem,Bernie
1995,1883.80,0,Amet est est dolorem quisquam porro,Berry Ice
1980,1097.64,0,Adipisci eius neque sed labore magnam neque,Beshte
1996,276.07,0,Adipisci amet aliquam aliquam velit,Bessie
2001,760.71,0,Sed quisquam quiquia quisquam quisquam dolorem aliquam labore,Bianca
2001,1388.86,0,Dolorem porro adipisci dolor amet voluptatem ipsum consectetur,Bianca
2018,256.46,0,Est adipisci voluptatem sit dolorem etincidunt magnam,Bidder
2013,901.16,0,Consectetur tempora amet numquam eius adipisci,Big Apple
2011,1025.84,0,Est aliquam tempora ut ipsum tempora velit,Big Kiss
2019,865.06,0,Aliquam ipsum eius porro numquam,Bijoux
2012,833.88,0,Porro labore modi sed amet etincidunt,Billingham
1983,1877.60,0,Adipisci neque porro etincidunt dolore quisquam numquam ipsum,Billionaire 10
2013,187.94,0,Porro consectetur amet tempora ut porro porro eius,Billionaire 11
1993,586.67,0,Labore porro eius dolor dolorem labore quiquia,Billionaire 12
2001,1973.74,0,Est consectetur adipisci neque etincidunt labore adipisci aliquam,Billionaire 13
2005,1210.98,0,Sed sit neque sit,Billionaire 14
2004,620.97,0,Modi velit tempora ipsum dolore tempora magnam,Billionaire 15
1983,1487.06,0,Dolor magnam aliquam consectetur velit quaerat ut,Billionaire 17
1998,1684.85,0,Quiquia consectetur adipisci eius neque dolor aliquam eius,Billionaire 2
1983,1532.41,0,Eius quaerat eius quisquam tempora dolor quiquia,Billionaire 3
1998,580.53,0,Magnam dolore modi velit,Billionaire 4
1999,1345.81,0,Modi amet numquam modi quiquia,Billionaire 5
1980,940.91,0,Porro tempora quaerat magnam adipisci dolorem,Billionaire 6
2005,1071.29,0,Quaerat porro magnam etincidunt dolore consectetur sit,Billionaire 7
1984,429.01,0,Ipsum etincidunt modi amet neque sit labore,Billionaire 8
1998,801.17,0,Amet est dolor ipsum quisquam etincidunt ut,Billionaire 9
1985,139.98,0,Dolore labore labore non numquam numquam ipsum,Billionaire bear
2012,1489.17,0,Sed modi adipisci sit tempora,Binksy
2003,104.56,0,Adipisci velit voluptatem non,Biscuit
2008,921.18,0,Labore eius non modi voluptatem,Bits
1980,330.27,0,Quisquam sit quiquia quisquam amet ut amet dolor,Bixby
1981,694.91,0,Amet aliquam adipisci sed porro,Black Panther
2004,1842.38,0,Dolorem ipsum non sed voluptatem,Blackie
2005,634.63,0,Velit labore dolor dolore dolore neque modi quaerat,Blessed
2005,1596.71,0,Sit ut labore porro modi,Bliss
1994,390.72,0,Modi quaerat voluptatem dolor sed dolore,Blissful
2003,1026.60,0,Voluptatem etincidunt neque tempora aliquam quiquia non,Blitz
1983,1080.87,0,Voluptatem est labore porro,Blizzard
1996,1865.87,0,Non tempora adipisci adipisci amet,Bloom
1998,845.49,0,Quiquia etincidunt amet tempora voluptatem voluptatem est,Bloom
1991,666.02,0,Est porro etincidunt voluptatem,Bloomfield
1987,1180.22,0,Voluptatem est consectetur modi dolorem aliquam,Blue
1992,1076.31,0,Modi tempora ut non ut quiquia dolor,Blue
1987,1824.52,0,Labore numquam dolorem tempora amet quaerat etincidunt,Blue
1987,1279.14,0,Velit quisquam adipisci aliquam voluptatem quaerat,Blue Angel Hello Kitty
1998,429.00,0,Tempora dolore sed dolore,Blue Beanie Shoes
2014,180.43,0,Velit tempora etincidunt dolor,Bluebonnet
1986,661.53,0,Etincidunt neque velit dolor aliquam dolorem,Bo
1985,1424.50,0,Amet sed ipsum dolorem porro,Bo
1994,1417.63,0,Labore velit amet neque eius quaerat sit voluptatem,Bodkin
