ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,CHARACTER_SETS,def,<blank>,NULL,384,max_rows=43690,16434816,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,COLLATIONS,def,<blank>,NULL,231,max_rows=72628,16704765,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,COLLATION_CHARACTER_SET_APPLICABILITY,def,<blank>,NULL,195,max_rows=86037,16357770,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,2020-06-28 16:56:42,1024,information_schema,COLUMNS,def,<blank>,NULL,0,max_rows=2802,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,COLUMN_PRIVILEGES,def,<blank>,NULL,2565,max_rows=6540,16757145,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,ENGINES,def,<blank>,NULL,490,max_rows=34239,16574250,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,2020-06-28 16:56:42,1024,information_schema,EVENTS,def,<blank>,NULL,0,max_rows=618,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,FILES,def,<blank>,NULL,2677,max_rows=6267,16758020,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,GLOBAL_STATUS,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,GLOBAL_VARIABLES,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,KEY_COLUMN_USAGE,def,<blank>,NULL,4637,max_rows=3618,16762755,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,2020-06-28 16:56:42,1024,information_schema,PARAMETERS,def,<blank>,NULL,0,max_rows=6050,281474976710655,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,2020-06-28 16:56:42,1024,information_schema,PARTITIONS,def,<blank>,NULL,0,max_rows=5579,281474976710655,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,2020-06-28 16:56:42,1024,information_schema,PLUGINS,def,<blank>,NULL,0,max_rows=11328,281474976710655,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,2020-06-28 16:56:42,1024,information_schema,PROCESSLIST,def,<blank>,NULL,0,max_rows=23899,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,PROFILING,def,<blank>,NULL,308,max_rows=54471,16562084,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,REFERENTIAL_CONSTRAINTS,def,<blank>,NULL,4814,max_rows=3485,16767162,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,2020-06-28 16:56:42,1024,information_schema,ROUTINES,def,<blank>,NULL,0,max_rows=583,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,SCHEMATA,def,<blank>,NULL,3464,max_rows=4843,16738048,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,SCHEMA_PRIVILEGES,def,<blank>,NULL,2179,max_rows=7699,16736899,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,SESSION_STATUS,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-06-28 16:56:42,0,NULL,0,information_schema,SESSION_VARIABLES,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
