1.1.1.1,1.1.1.0/24
192.168.0.75,10.10.10.0/24
192.31.199.233,126.175.187.164/31
192.88.97.247,115.108.0.0/14
198.51.56.59,192.175.61.144/29
192.31.218.80,164.175.96.0/19
203.0.120.150,198.10.96.128/27
192.31.198.150,53.180.120.138/31
192.88.98.176,192.91.167.0/24
192.30.187.117,203.11.128.0/20
192.52.229.76,203.0.82.96/28
125.137.116.238,198.49.119.128/25
169.225.191.2,203.54.104.16/28
169.251.105.158,198.51.103.128/27
14.152.205.87,198.51.48.8/29
192.52.192.78,194.6.57.120/31
198.16.123.177,198.23.27.160/27
192.44.39.15,175.181.128.0/17
192.52.192.57,169.115.0.0/16
203.103.12.8,192.0.7.194/31
192.31.197.130,198.51.37.128/25
192.31.243.155,192.88.84.0/23
198.122.254.201,192.31.222.178/32
194.177.209.15,192.30.0.0/16
198.22.219.221,192.88.96.64/26
198.48.202.223,168.230.212.182/31
192.31.188.228,192.52.194.32/28
192.88.64.146,192.31.168.0/22
198.51.151.75,7.2.0.0/16
192.6.89.11,198.28.0.0/14
192.30.252.89,203.1.216.0/21
192.31.192.212,192.53.96.0/20
194.38.129.230,192.83.196.0/23
198.23.227.173,48.0.0.0/5
192.31.193.143,192.31.194.0/24
198.51.102.246,6.68.46.0/25
121.242.36.90,192.2.0.0/15
192.174.155.119,105.0.0.0/8
192.175.140.228,203.69.84.112/28
199.24.209.46,15.48.24.0/21
192.0.14.252,192.174.125.185/32
203.0.36.242,169.25.46.84/31
203.0.123.31,192.52.67.128/25
192.88.96.91,192.1.44.0/23
203.0.2.100,198.24.93.64/26
203.11.220.108,100.0.210.80/31
169.125.188.88,192.52.208.0/20
203.119.85.153,203.3.149.224/31
109.223.244.164,192.52.192.32/27
8.139.242.235,198.51.112.0/20
198.52.66.2,203.11.94.128/25
171.45.53.113,192.93.159.0/26
192.19.229.253,192.88.100.0/24
192.0.6.64,115.193.95.188/31
192.175.53.157,198.51.101.176/28
192.88.75.47,121.164.0.0/15
198.16.151.239,192.181.0.0/16
192.88.9.212,192.224.0.0/11
192.31.201.138,192.175.47.0/24
192.0.3.40,126.131.164.0/22
202.96.102.102,192.2.15.92/30
192.31.255.63,192.6.51.132/32
203.0.101.251,192.88.56.0/24
205.198.174.143,192.0.3.181/32
192.0.225.179,223.212.225.16/31
198.29.192.21,192.54.0.0/17
192.175.49.203,169.252.104.42/32
200.190.237.203,198.48.0.0/15
192.0.3.112,192.88.18.0/24
192.89.7.250,192.31.192.32/27
192.0.3.8,36.0.0.0/9
192.175.49.242,203.0.244.0/25
198.7.208.238,126.224.0.0/11
198.32.105.180,192.31.197.64/27
101.199.15.194,203.3.235.170/31
192.101.240.221,198.51.109.201/32
203.0.112.63,192.31.194.128/32
198.50.102.80,198.51.106.32/27
192.0.9.15,198.62.180.0/24
192.140.216.37,192.175.51.24/29
192.88.122.194,198.51.42.128/25
31.46.159.7,48.0.0.0/8
168.96.236.222,192.167.58.188/32
85.187.176.0,169.252.128.0/17
169.32.223.154,126.124.192.0/18
