"No.","Time","Source","Destination","Protocol","Length","Info"
"371","0.069624","172.16.0.62","172.16.0.22","MEMCACHE","67","MEMCACHE Continuation"
"372","0.069749","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"373","0.069770","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"374","0.069776","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"375","0.069782","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"376","0.069797","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"377","0.069802","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"378","0.069808","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"379","0.069813","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"380","0.069819","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"381","0.069824","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"382","0.069833","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"383","0.069839","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"384","0.069846","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"385","0.069851","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"386","0.069859","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"387","0.069867","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"388","0.069872","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"389","0.069879","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"390","0.069887","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"391","0.069892","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"392","0.069900","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"393","0.069907","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"394","0.069913","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"395","0.069921","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"396","0.069929","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"397","0.069951","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"398","0.069960","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"399","0.069965","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"400","0.069973","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"401","0.069980","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"402","0.069986","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"403","0.069993","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"404","0.070001","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"405","0.070006","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"406","0.070014","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"407","0.070021","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"408","0.070027","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"409","0.070035","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"410","0.070042","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"411","0.070048","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"412","0.070055","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"413","0.070061","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"414","0.070068","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"415","0.070076","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"416","0.070082","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"417","0.070089","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"418","0.070109","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"419","0.070115","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"420","0.070123","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"421","0.070130","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"422","0.070136","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"423","0.070143","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"424","0.070151","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"425","0.070157","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"426","0.070164","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"427","0.070170","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"428","0.070178","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"429","0.070204","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"430","0.070212","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"431","0.070219","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"432","0.070227","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"433","0.070233","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"434","0.070241","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"435","0.070248","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"436","0.070254","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"437","0.070261","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
"438","0.070268","172.16.0.22","172.16.0.62","MEMCACHE","1442","MEMCACHE Continuation"
